year,week,tot
2015,1,1435
2015,2,2525
2015,3,2526
2015,4,2510
2015,5,2644
2015,6,2727
2015,7,2892
2015,8,2774
2015,9,2643
2015,10,2457
2015,11,2380
2015,12,2380
2015,13,2270
2015,14,2163
2015,15,2218
2015,16,2152
2015,17,2087
2015,18,2005
2015,19,2063
2015,20,1976
2015,21,1950
2015,22,1905
2015,23,1942
2015,24,2003
2015,25,1900
2015,26,1888
2015,27,2301
2015,28,1908
2015,29,1797
2015,30,1740
2015,31,1777
2015,32,1997
2015,33,1852
2015,34,1755
2015,35,1919
2015,36,1775
2015,37,1917
2015,38,1844
2015,39,1932
2015,40,1973
2015,41,2019
2015,42,2059
2015,43,2038
2015,44,2095
2015,45,1951
2015,46,1934
2015,47,2020
2015,48,2021
2015,49,1992
2015,50,2113
2015,51,2085
2015,52,2031
2015,53,1248
2016,1,2244
2016,2,2234
2016,3,2295
2016,4,2263
2016,5,2180
2016,6,2127
2016,7,2121
2016,8,2230
2016,9,2336
2016,10,2264
2016,11,2248
2016,12,2364
2016,13,2273
2016,14,2080
2016,15,2160
2016,16,2049
2016,17,1996
2016,18,2087
2016,19,2065
2016,20,1926
2016,21,1946
2016,22,1885
2016,23,1856
2016,24,1851
2016,25,1920
2016,26,1846
2016,27,1899
2016,28,1933
2016,29,2030
2016,30,1917
2016,31,1801
2016,32,1788
2016,33,1976
2016,34,2120
2016,35,1866
2016,36,1835
2016,37,1938
2016,38,1769
2016,39,1906
2016,40,1904
2016,41,2065
2016,42,2041
2016,43,2025
2016,44,2088
2016,45,2093
2016,46,2177
2016,47,2143
2016,48,2191
2016,49,2221
2016,50,2221
2016,51,2321
2016,52,2067
2016,53,875
2017,1,2557
2017,2,2735
2017,3,2645
2017,4,2691
2017,5,2950
2017,6,2691
2017,7,2631
2017,8,2389
2017,9,2315
2017,10,2138
2017,11,2036
2017,12,2106
2017,13,2068
2017,14,1969
2017,15,1954
2017,16,1917
2017,17,2079
2017,18,2091
2017,19,2009
2017,20,2110
2017,21,2009
2017,22,1981
2017,23,1815
2017,24,1868
2017,25,2101
2017,26,1821
2017,27,1901
2017,28,1847
2017,29,1827
2017,30,1897
2017,31,1808
2017,32,1826
2017,33,1784
2017,34,1951
2017,35,1924
2017,36,1883
2017,37,1823
2017,38,1908
2017,39,1963
2017,40,1955
2017,41,2059
2017,42,2007
2017,43,1913
2017,44,1892
2017,45,1939
2017,46,2078
2017,47,2114
2017,48,2080
2017,49,2276
2017,50,2325
2017,51,2272
2017,52,2701
2018,1,2686
2018,2,2317
2018,3,2336
2018,4,2253
2018,5,2355
2018,6,2353
2018,7,2565
2018,8,2628
2018,9,3002
2018,10,3016
2018,11,2724
2018,12,2594
2018,13,2460
2018,14,2203
2018,15,2175
2018,16,2044
2018,17,1953
2018,18,1867
2018,19,1980
2018,20,1860
2018,21,1951
2018,22,1953
2018,23,1811
2018,24,1734
2018,25,1779
2018,26,1950
2018,27,2080
2018,28,1833
2018,29,1988
2018,30,2107
2018,31,2125
2018,32,2000
2018,33,1887
2018,34,1824
2018,35,1825
2018,36,1909
2018,37,1811
2018,38,1970
2018,39,1831
2018,40,1965
2018,41,2006
2018,42,1957
2018,43,1918
2018,44,1907
2018,45,2049
2018,46,2017
2018,47,2060
2018,48,2107
2018,49,2173
2018,50,2233
2018,51,2263
2018,52,2251
2019,1,2617
2019,2,2347
2019,3,2312
2019,4,2395
2019,5,2421
2019,6,2544
2019,7,2409
2019,8,2418
2019,9,2428
2019,10,2389
2019,11,2335
2019,12,2167
2019,13,2063
2019,14,2183
2019,15,1969
2019,16,2095
2019,17,2046
2019,18,2011
2019,19,2034
2019,20,2034
2019,21,1995
2019,22,1933
2019,23,1966
2019,24,1847
2019,25,1913
2019,26,1980
2019,27,1935
2019,28,1788
2019,29,1882
2019,30,2318
2019,31,1916
2019,32,1766
2019,33,1777
2019,34,1859
2019,35,2006
2019,36,1838
2019,37,1833
2019,38,1923
2019,39,1906
2019,40,2048
2019,41,1951
2019,42,1961
2019,43,2065
2019,44,1935
2019,45,2001
2019,46,2014
2019,47,2187
2019,48,2122
2019,49,2161
2019,50,2213
2019,51,2337
2019,52,2152
2020,1,1630
2020,2,2405
2020,3,2328
2020,4,2215
2020,5,2374
2020,6,2180
2020,7,2324
2020,8,2319
2020,9,2262
2020,10,2222
2020,11,2255
2020,12,2573
2020,13,3218
2020,14,4044
2020,15,4311
2020,16,3723
2020,17,3058
2020,18,2435
2020,19,2397
2020,20,2050
2020,21,2092
2020,22,1992
2020,23,1812
2020,24,1906
2020,25,1824
2020,26,1973
2020,27,1775
2020,28,1699
2020,29,1862
2020,30,1819
2020,31,1959
2020,32,2048
2020,33,2888
2020,34,2225
2020,35,1884
2020,36,1904
2020,37,1825
2020,38,2013
2020,39,1935
2020,40,1932
2020,41,2075
2020,42,2164
2020,43,2634
2020,44,3295
2020,45,3704
2020,46,3445
2020,47,3191
2020,48,2904
2020,49,2708
2020,50,2788
2020,51,2750
2020,52,2622
2020,53,1485
2021,1,2469
2021,2,2401
2021,3,2435
2021,4,2439
2021,5,2275
2021,6,2226
2021,7,2313
2021,8,2143
2021,9,2008
2021,10,2152
2021,11,2097
2021,12,2102
2021,13,2212
2021,14,2192
2021,15,2141
2021,16,2163
2021,53,970
