,DATE,PROVINCE,REGION,AGEGROUP,SEX,CASES,PROVINCE_NAME
0,2020-03-01,VAN,Flanders,40-49,M,1,Antwerpen
1,2020-03-01,BRU,Brussels,10-19,M,1,Brussels
2,2020-03-01,BRU,Brussels,10-19,F,1,Brussels
3,2020-03-01,BRU,Brussels,20-29,M,1,Brussels
4,2020-03-01,BRU,Brussels,30-39,F,1,Brussels
5,2020-03-01,BRU,Brussels,40-49,F,1,Brussels
6,2020-03-01,BRU,Brussels,50-59,M,1,Brussels
7,2020-03-01,WLG,Wallonia,40-49,M,3,Liège
8,2020-03-01,VLI,Flanders,70-79,M,1,Limburg
9,2020-03-01,VOV,Flanders,50-59,F,1,OostVlaanderen
10,2020-03-01,VBR,Flanders,10-19,M,1,VlaamsBrabant
11,2020-03-01,VBR,Flanders,10-19,F,2,VlaamsBrabant
12,2020-03-01,VBR,Flanders,40-49,M,1,VlaamsBrabant
13,2020-03-01,VBR,Flanders,40-49,F,1,VlaamsBrabant
14,2020-03-01,VBR,Flanders,50-59,M,1,VlaamsBrabant
15,2020-03-01,VBR,Flanders,60-69,M,1,VlaamsBrabant
16,2020-03-02,VAN,Flanders,40-49,M,1,Antwerpen
17,2020-03-02,WBR,Wallonia,10-19,M,1,BrabantWallon
18,2020-03-02,WBR,Wallonia,10-19,F,1,BrabantWallon
19,2020-03-02,BRU,Brussels,10-19,F,1,Brussels
20,2020-03-02,BRU,Brussels,40-49,M,1,Brussels
21,2020-03-02,BRU,Brussels,50-59,F,1,Brussels
22,2020-03-02,BRU,Brussels,70-79,M,1,Brussels
23,2020-03-02,WLG,Wallonia,60-69,F,1,Liège
24,2020-03-02,VOV,Flanders,20-29,M,1,OostVlaanderen
25,2020-03-02,VBR,Flanders,10-19,M,2,VlaamsBrabant
26,2020-03-02,VBR,Flanders,40-49,M,1,VlaamsBrabant
27,2020-03-02,VBR,Flanders,40-49,F,3,VlaamsBrabant
28,2020-03-02,VBR,Flanders,50-59,M,2,VlaamsBrabant
29,2020-03-02,VWV,Flanders,50-59,M,1,WestVlaanderen
30,2020-03-02,VWV,Flanders,60-69,F,1,WestVlaanderen
31,2020-03-03,VAN,Flanders,30-39,F,1,Antwerpen
32,2020-03-03,VAN,Flanders,40-49,M,1,Antwerpen
33,2020-03-03,VAN,Flanders,40-49,F,1,Antwerpen
34,2020-03-03,VAN,Flanders,50-59,F,1,Antwerpen
35,2020-03-03,VAN,Flanders,70-79,M,1,Antwerpen
36,2020-03-03,WBR,Wallonia,20-29,M,1,BrabantWallon
37,2020-03-03,WBR,Wallonia,40-49,F,1,BrabantWallon
38,2020-03-03,WBR,Wallonia,60-69,F,1,BrabantWallon
39,2020-03-03,BRU,Brussels,10-19,M,1,Brussels
40,2020-03-03,BRU,Brussels,70-79,F,1,Brussels
41,2020-03-03,WHT,Wallonia,50-59,M,1,Hainaut
42,2020-03-03,WLG,Wallonia,10-19,M,1,Liège
43,2020-03-03,WLG,Wallonia,10-19,F,2,Liège
44,2020-03-03,WLG,Wallonia,20-29,M,1,Liège
45,2020-03-03,WLG,Wallonia,40-49,M,1,Liège
46,2020-03-03,WLG,Wallonia,40-49,F,1,Liège
47,2020-03-03,VLI,Flanders,0-9,F,1,Limburg
48,2020-03-03,VLI,Flanders,20-29,M,1,Limburg
49,2020-03-03,VLI,Flanders,40-49,F,1,Limburg
50,2020-03-03,WNA,Wallonia,40-49,F,1,Namur
51,2020-03-03,VOV,Flanders,20-29,M,1,OostVlaanderen
52,2020-03-03,VOV,Flanders,70-79,M,1,OostVlaanderen
53,2020-03-03,VOV,Flanders,70-79,F,1,OostVlaanderen
54,2020-03-03,VBR,Flanders,30-39,F,1,VlaamsBrabant
55,2020-03-03,VBR,Flanders,40-49,M,1,VlaamsBrabant
56,2020-03-03,VBR,Flanders,40-49,F,1,VlaamsBrabant
57,2020-03-03,VBR,Flanders,50-59,M,1,VlaamsBrabant
58,2020-03-03,VBR,Flanders,50-59,F,1,VlaamsBrabant
59,2020-03-03,VBR,Flanders,70-79,M,1,VlaamsBrabant
60,2020-03-03,VWV,Flanders,20-29,F,1,WestVlaanderen
61,2020-03-03,VWV,Flanders,30-39,M,1,WestVlaanderen
