YEAR,NIS3,TOT,name,NIS5,POP,DEATH_PER_1000HABITANT
2015,11,10033,Anvers,11000,1051301,9.54
2015,55,1079,Soignies,55000,104533,10.32
2015,56,1100,Thuin,56000,91678,12.0
2015,57,2574,Tournai,57000,223417,11.52
2015,58,1653,La Louvière,58000,141060,11.72
2015,61,1208,Huy,61000,113409,10.65
2015,62,7080,Liège,62000,624422,11.34
2015,63,2968,Verviers,63000,287772,10.31
2015,71,3635,Hasselt,71000,418496,8.69
2015,53,2905,Mons,53000,258999,11.22
2015,72,1980,Maaseik,72000,251589,7.87
2015,81,480,Arlon,81000,62623,7.66
2015,82,394,Bastogne,82000,48413,8.14
2015,83,600,Marche-en-Famenne,83000,56476,10.62
2015,84,675,Neufchâteau,84000,63375,10.65
2015,85,526,Virton,85000,53751,9.79
2015,91,1236,Dinant,91000,111008,11.13
2015,92,3232,Namur,92000,316962,10.2
2015,93,722,Philippeville,93000,66355,10.88
2015,73,1822,Tongres,73000,203963,8.93
2015,52,4550,Charleroi,52000,396639,11.47
2015,64,811,Waremme,64000,81389,9.96
2015,46,2218,Saint-Nicolas,46000,252523,8.78
2015,51,1422,Ath,51000,127915,11.12
2015,13,3930,Turnhout,13000,461867,8.51
2015,21,9329,Bruxelles-Capitale,21000,1208542,7.72
2015,23,5518,Hal-Vilvorde,23000,637441,8.66
2015,24,4767,Louvain,24000,508734,9.37
2015,25,3673,Nivelles,25000,403599,9.1
2015,31,3022,Bruges,31000,282209,10.71
2015,32,523,Dixmude,32000,51525,10.15
2015,33,1075,Ypres,33000,106279,10.11
2015,34,2895,Courtrai,34000,290706,9.96
2015,12,3296,Malines,12000,344818,9.56
2015,36,1553,Roulers,36000,153315,10.13
2015,37,948,Tielt,37000,92905,10.2
2015,38,785,Furnes,38000,61657,12.73
2015,41,3028,Alost,41000,291229,10.4
2015,42,2028,Termonde,42000,201213,10.08
2015,43,908,Eeklo,43000,85235,10.65
2015,44,5212,Gand,44000,560522,9.3
2015,45,1264,Audenarde,45000,124342,10.17
2015,35,1851,Ostende,35000,157200,11.77
2016,52,4422,Charleroi,52000,396639,11.15
2016,62,6903,Liège,62000,624422,11.06
2016,61,1187,Huy,61000,113409,10.47
2016,58,1561,La Louvière,58000,141060,11.07
2016,53,2983,Mons,53000,258999,11.52
2016,56,1056,Thuin,56000,91678,11.52
2016,55,1059,Soignies,55000,104533,10.13
2016,63,2827,Verviers,63000,287772,9.82
2016,57,2642,Tournai,57000,223417,11.83
2016,71,3590,Hasselt,71000,418496,8.58
2016,83,605,Marche-en-Famenne,83000,56476,10.71
2016,73,1786,Tongres,73000,203963,8.76
2016,81,514,Arlon,81000,62623,8.21
2016,82,433,Bastogne,82000,48413,8.94
2016,84,665,Neufchâteau,84000,63375,10.49
2016,85,531,Virton,85000,53751,9.88
2016,91,1189,Dinant,91000,111008,10.71
2016,92,3099,Namur,92000,316962,9.78
2016,93,764,Philippeville,93000,66355,11.51
2016,72,1950,Maaseik,72000,251589,7.75
2016,51,1372,Ath,51000,127915,10.73
2016,64,764,Waremme,64000,81389,9.39
2016,45,1247,Audenarde,45000,124342,10.03
2016,12,3231,Malines,12000,344818,9.37
2016,13,3905,Turnhout,13000,461867,8.45
2016,21,9066,Bruxelles-Capitale,21000,1208542,7.5
2016,23,5530,Hal-Vilvorde,23000,637441,8.68
2016,24,4653,Louvain,24000,508734,9.15
2016,25,3501,Nivelles,25000,403599,8.67
2016,31,2962,Bruges,31000,282209,10.5
2016,32,524,Dixmude,32000,51525,10.17
2016,33,1030,Ypres,33000,106279,9.69
2016,11,9740,Anvers,11000,1051301,9.26
2016,46,2231,Saint-Nicolas,46000,252523,8.83
