DATE,REGION,AGEGROUP,SEX,DOSE,COUNT
2020-12-28,Brussels,18-34,F,A,1
2020-12-28,Brussels,45-54,F,A,2
2020-12-28,Brussels,55-64,F,A,3
2020-12-28,Brussels,55-64,M,A,1
2020-12-28,Brussels,65-74,F,A,2
2020-12-28,Brussels,65-74,M,A,2
2020-12-28,Brussels,75-84,F,A,2
2020-12-28,Brussels,75-84,M,A,1
2020-12-28,Brussels,85+,F,A,38
2020-12-28,Brussels,85+,M,A,4
2020-12-28,Flanders,18-34,F,A,4
2020-12-28,Flanders,18-34,M,A,2
2020-12-28,Flanders,45-54,F,A,4
2020-12-28,Flanders,45-54,M,A,1
2020-12-28,Flanders,55-64,F,A,5
2020-12-28,Flanders,55-64,M,A,3
2020-12-28,Flanders,65-74,F,A,7
2020-12-28,Flanders,65-74,M,A,3
2020-12-28,Flanders,75-84,F,A,16
2020-12-28,Flanders,75-84,M,A,9
2020-12-28,Flanders,85+,F,A,50
2020-12-28,Flanders,85+,M,A,19
2020-12-28,Wallonia,18-34,F,A,9
2020-12-28,Wallonia,18-34,M,A,3
2020-12-28,Wallonia,35-44,F,A,15
2020-12-28,Wallonia,35-44,M,A,5
2020-12-28,Wallonia,45-54,F,A,12
2020-12-28,Wallonia,45-54,M,A,3
2020-12-28,Wallonia,55-64,F,A,15
2020-12-28,Wallonia,55-64,M,A,13
2020-12-28,Wallonia,65-74,F,A,3
2020-12-28,Wallonia,65-74,M,A,9
2020-12-28,Wallonia,75-84,F,A,11
2020-12-28,Wallonia,75-84,M,A,1
2020-12-28,Wallonia,85+,F,A,15
2020-12-28,Wallonia,85+,M,A,5
2020-12-29,Flanders,65-74,M,A,1
2020-12-30,Brussels,18-34,F,A,1
2020-12-30,Brussels,75-84,F,A,1
2020-12-30,Brussels,85+,F,A,3
2020-12-30,Flanders,18-34,F,A,20
2020-12-30,Flanders,18-34,M,A,7
2020-12-30,Flanders,35-44,F,A,14
2020-12-30,Flanders,35-44,M,A,5
2020-12-30,Flanders,45-54,F,A,18
2020-12-30,Flanders,45-54,M,A,6
2020-12-30,Flanders,55-64,F,A,19
2020-12-30,Flanders,55-64,M,A,7
2020-12-30,Flanders,65-74,F,A,21
2020-12-30,Flanders,65-74,M,A,24
2020-12-30,Flanders,75-84,F,A,51
2020-12-30,Flanders,75-84,M,A,27
2020-12-30,Flanders,85+,F,A,190
2020-12-30,Flanders,85+,M,A,63
2020-12-30,Wallonia,35-44,F,A,1
2020-12-31,Flanders,18-34,F,A,2
2020-12-31,Flanders,35-44,M,A,1
2020-12-31,Flanders,45-54,F,A,2
2020-12-31,Flanders,55-64,F,A,2
2020-12-31,Flanders,85+,F,A,1
2020-12-31,Flanders,85+,M,A,1
2021-01-01,Brussels,65-74,M,A,1
2021-01-01,Wallonia,45-54,M,A,2
2021-01-01,Wallonia,55-64,F,A,1
2021-01-01,Wallonia,55-64,M,A,1
2021-01-01,Wallonia,65-74,M,A,1
2021-01-01,Wallonia,75-84,F,A,1
2021-01-04,Flanders,45-54,F,A,1
2021-01-04,Flanders,45-54,M,A,1
2021-01-05,Brussels,18-34,F,A,9
2021-01-05,Brussels,18-34,M,A,3
2021-01-05,Brussels,35-44,F,A,6
2021-01-05,Brussels,35-44,M,A,8
2021-01-05,Brussels,45-54,F,A,7
2021-01-05,Brussels,45-54,M,A,12
2021-01-05,Brussels,55-64,F,A,23
2021-01-05,Brussels,55-64,M,A,45
2021-01-05,Brussels,65-74,F,A,67
2021-01-05,Brussels,65-74,M,A,74
2021-01-05,Brussels,75-84,F,A,87
2021-01-05,Brussels,75-84,M,A,70
2021-01-05,Brussels,85+,F,A,182
2021-01-05,Brussels,85+,M,A,45
2021-01-05,Flanders,18-34,F,A,5
2021-01-05,Flanders,35-44,F,A,3
2021-01-05,Flanders,35-44,M,A,1
2021-01-05,Flanders,45-54,F,A,1
2021-01-05,Flanders,45-54,M,A,4
2021-01-05,Flanders,55-64,F,A,6
2021-01-05,Flanders,55-64,M,A,1
2021-01-05,Flanders,65-74,M,A,2
2021-01-05,Flanders,75-84,F,A,4
2021-01-05,Flanders,75-84,M,A,5
2021-01-05,Flanders,85+,F,A,5
2021-01-05,Flanders,85+,M,A,1
2021-01-05,,45-54,M,A,1
2021-01-05,Ostbelgien,18-34,F,A,3
2021-01-05,Ostbelgien,35-44,F,A,7
2021-01-05,Ostbelgien,35-44,M,A,4
2021-01-05,Ostbelgien,45-54,F,A,3
2021-01-05,Ostbelgien,45-54,M,A,1
2021-01-05,Ostbelgien,55-64,F,A,6
2021-01-05,Ostbelgien,55-64,M,A,3
2021-01-05,Ostbelgien,65-74,M,A,4
2021-01-05,Ostbelgien,75-84,F,A,10
2021-01-05,Ostbelgien,75-84,M,A,3
2021-01-05,Ostbelgien,85+,F,A,24
2021-01-05,Ostbelgien,85+,M,A,5
2021-01-05,Wallonia,18-34,F,A,46
2021-01-05,Wallonia,18-34,M,A,9
2021-01-05,Wallonia,35-44,F,A,63
2021-01-05,Wallonia,35-44,M,A,13
2021-01-05,Wallonia,45-54,F,A,72
2021-01-05,Wallonia,45-54,M,A,14
2021-01-05,Wallonia,55-64,F,A,41
2021-01-05,Wallonia,55-64,M,A,22
2021-01-05,Wallonia,65-74,F,A,48
2021-01-05,Wallonia,65-74,M,A,35
2021-01-05,Wallonia,75-84,F,A,105
2021-01-05,Wallonia,75-84,M,A,52
2021-01-05,Wallonia,85+,F,A,250
2021-01-05,Wallonia,85+,M,A,65
2021-01-06,Brussels,18-34,F,A,12
2021-01-06,Brussels,18-34,M,A,6
2021-01-06,Brussels,35-44,F,A,16
2021-01-06,Brussels,35-44,M,A,5
2021-01-06,Brussels,45-54,F,A,21
2021-01-06,Brussels,45-54,M,A,14
2021-01-06,Brussels,55-64,F,A,40
2021-01-06,Brussels,55-64,M,A,44
2021-01-06,Brussels,65-74,F,A,65
2021-01-06,Brussels,65-74,M,A,54
2021-01-06,Brussels,75-84,F,A,155
2021-01-06,Brussels,75-84,M,A,71
2021-01-06,Brussels,85+,F,A,406
2021-01-06,Brussels,85+,M,A,75
2021-01-06,Flanders,18-34,F,A,28
2021-01-06,Flanders,35-44,F,A,25
2021-01-06,Flanders,35-44,M,A,3
2021-01-06,Flanders,45-54,F,A,38
2021-01-06,Flanders,45-54,M,A,10
2021-01-06,Flanders,55-64,F,A,34
2021-01-06,Flanders,55-64,M,A,17
2021-01-06,Flanders,65-74,F,A,23
2021-01-06,Flanders,65-74,M,A,32
2021-01-06,Flanders,75-84,F,A,140
2021-01-06,Flanders,75-84,M,A,70
2021-01-06,Flanders,85+,F,A,376
2021-01-06,Flanders,85+,M,A,120
2021-01-06,,18-34,F,A,5
2021-01-06,,35-44,F,A,2
2021-01-06,,45-54,F,A,5
2021-01-06,,45-54,M,A,1
2021-01-06,,55-64,F,A,2
2021-01-06,,55-64,M,A,1
2021-01-06,,75-84,F,A,2
2021-01-06,,85+,F,A,1
2021-01-06,Ostbelgien,18-34,F,A,1
2021-01-06,Ostbelgien,35-44,F,A,1
2021-01-06,Ostbelgien,55-64,F,A,2
2021-01-06,Ostbelgien,65-74,F,A,5
2021-01-06,Ostbelgien,65-74,M,A,2
2021-01-06,Ostbelgien,75-84,F,A,13
2021-01-06,Ostbelgien,75-84,M,A,5
2021-01-06,Ostbelgien,85+,F,A,4
2021-01-06,Ostbelgien,85+,M,A,1
2021-01-06,Wallonia,0-17,M,A,2
2021-01-06,Wallonia,18-34,F,A,115
2021-01-06,Wallonia,18-34,M,A,29
2021-01-06,Wallonia,35-44,F,A,135
2021-01-06,Wallonia,35-44,M,A,25
2021-01-06,Wallonia,45-54,F,A,159
2021-01-06,Wallonia,45-54,M,A,38
2021-01-06,Wallonia,55-64,F,A,126
2021-01-06,Wallonia,55-64,M,A,57
2021-01-06,Wallonia,65-74,F,A,100
2021-01-06,Wallonia,65-74,M,A,86
2021-01-06,Wallonia,75-84,F,A,276
2021-01-06,Wallonia,75-84,M,A,105
2021-01-06,Wallonia,85+,F,A,525
2021-01-06,Wallonia,85+,M,A,137
2021-01-07,Brussels,18-34,F,A,17
2021-01-07,Brussels,18-34,M,A,4
2021-01-07,Brussels,35-44,F,A,13
2021-01-07,Brussels,35-44,M,A,7
2021-01-07,Brussels,45-54,F,A,19
2021-01-07,Brussels,45-54,M,A,16
2021-01-07,Brussels,55-64,F,A,46
2021-01-07,Brussels,55-64,M,A,45
2021-01-07,Brussels,65-74,F,A,88
2021-01-07,Brussels,65-74,M,A,65
2021-01-07,Brussels,75-84,F,A,151
2021-01-07,Brussels,75-84,M,A,77
2021-01-07,Brussels,85+,F,A,363
2021-01-07,Brussels,85+,M,A,77
2021-01-07,Flanders,18-34,F,A,62
2021-01-07,Flanders,18-34,M,A,14
2021-01-07,Flanders,35-44,F,A,94
2021-01-07,Flanders,35-44,M,A,19
2021-01-07,Flanders,45-54,F,A,94
2021-01-07,Flanders,45-54,M,A,28
2021-01-07,Flanders,55-64,F,A,117
2021-01-07,Flanders,55-64,M,A,54
2021-01-07,Flanders,65-74,F,A,89
2021-01-07,Flanders,65-74,M,A,59
2021-01-07,Flanders,75-84,F,A,347
2021-01-07,Flanders,75-84,M,A,159
2021-01-07,Flanders,85+,F,A,751
2021-01-07,Flanders,85+,M,A,259
2021-01-07,,18-34,F,A,6
2021-01-07,,18-34,M,A,1
2021-01-07,,35-44,F,A,16
2021-01-07,,35-44,M,A,8
2021-01-07,,45-54,F,A,16
2021-01-07,,45-54,M,A,2
2021-01-07,,55-64,F,A,5
2021-01-07,,65-74,M,A,3
2021-01-07,,75-84,F,A,2
2021-01-07,,75-84,M,A,2
2021-01-07,,85+,F,A,3
2021-01-07,,85+,M,A,2
2021-01-07,Ostbelgien,35-44,F,A,1
2021-01-07,Ostbelgien,45-54,F,A,1
2021-01-07,Ostbelgien,45-54,M,A,1
2021-01-07,Ostbelgien,55-64,F,A,4
2021-01-07,Ostbelgien,55-64,M,A,1
2021-01-07,Ostbelgien,65-74,F,A,4
2021-01-07,Ostbelgien,75-84,F,A,13
2021-01-07,Ostbelgien,75-84,M,A,1
2021-01-07,Ostbelgien,85+,F,A,14
2021-01-07,Ostbelgien,85+,M,A,7
2021-01-07,Wallonia,0-17,F,A,3
2021-01-07,Wallonia,18-34,F,A,263
2021-01-07,Wallonia,18-34,M,A,100
2021-01-07,Wallonia,35-44,F,A,296
2021-01-07,Wallonia,35-44,M,A,63
2021-01-07,Wallonia,45-54,F,A,334
2021-01-07,Wallonia,45-54,M,A,101
2021-01-07,Wallonia,55-64,F,A,328
2021-01-07,Wallonia,55-64,M,A,161
2021-01-07,Wallonia,65-74,F,A,273
2021-01-07,Wallonia,65-74,M,A,217
2021-01-07,Wallonia,75-84,F,A,649
2021-01-07,Wallonia,75-84,M,A,265
2021-01-07,Wallonia,85+,F,A,1512
2021-01-07,Wallonia,85+,M,A,334
2021-01-08,Brussels,18-34,F,A,29
2021-01-08,Brussels,18-34,M,A,13
2021-01-08,Brussels,35-44,F,A,26
2021-01-08,Brussels,35-44,M,A,3
2021-01-08,Brussels,45-54,F,A,31
2021-01-08,Brussels,45-54,M,A,18
2021-01-08,Brussels,55-64,F,A,75
2021-01-08,Brussels,55-64,M,A,51
2021-01-08,Brussels,65-74,F,A,80
2021-01-08,Brussels,65-74,M,A,69
2021-01-08,Brussels,75-84,F,A,199
2021-01-08,Brussels,75-84,M,A,92
2021-01-08,Brussels,85+,F,A,459
2021-01-08,Brussels,85+,M,A,89
2021-01-08,Flanders,0-17,F,A,1
2021-01-08,Flanders,18-34,F,A,107
2021-01-08,Flanders,18-34,M,A,31
2021-01-08,Flanders,35-44,F,A,146
2021-01-08,Flanders,35-44,M,A,15
2021-01-08,Flanders,45-54,F,A,220
2021-01-08,Flanders,45-54,M,A,42
