Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-17 19:31:30.000,6,5.1,4.2,3
2020-04-17 19:46:30.000,5,4.3,0.2,1
2020-04-17 20:01:30.000,3,0.0,0.0,0
2020-04-17 20:16:30.001,2,4.9,0.3,1
2020-04-17 20:31:30.000,1,0.0,0.0,0
2020-04-17 21:16:30.000,0,0.0,0.0,0
2020-04-17 21:31:30.000,0,5.3,0.2,1
2020-04-17 22:31:30.000,0,2.6,0.2,1
2020-04-17 22:46:30.000,0,2.2,0.8,1
2020-04-17 23:01:30.001,0,2.3,0.8,1
2020-04-17 23:31:30.000,0,3.4,0.7,1
2020-04-17 23:46:30.000,0,4.3,1.2,2
2020-04-18 00:16:30.000,0,3.0,0.7,1
2020-04-18 03:16:30.000,0,5.1,0.3,1
2020-04-18 06:31:30.000,2,0.0,0.0,0
2020-04-18 06:46:30.001,3,0.8,0.2,1
2020-04-18 07:01:30.002,3,0.6,0.2,1
2020-04-18 07:16:30.000,4,0.0,0.0,0
2020-04-18 07:31:30.001,5,7.2,0.4,2
2020-04-18 07:46:30.000,6,6.4,0.4,2
2020-04-18 08:01:30.000,7,7.4,0.6,2
2020-04-18 08:16:30.000,8,0.0,0.0,0
2020-04-18 08:31:30.000,8,7.9,1.0,3
2020-04-18 08:46:30.000,9,0.0,0.0,0
2020-04-18 09:01:30.000,9,0.0,0.0,0
2020-04-18 09:16:30.000,9,0.0,0.0,0
2020-04-18 09:31:30.001,9,3.7,0.2,1
2020-04-18 09:46:30.000,10,0.0,0.0,0
2020-04-18 10:01:30.000,10,0.0,0.0,0
2020-04-18 10:16:30.000,9,2.8,0.1,1
2020-04-18 10:31:30.000,9,2.5,0.2,1
2020-04-18 10:46:30.000,8,3.0,0.2,1
2020-04-18 11:01:30.000,8,5.2,1.6,2
2020-04-18 11:16:30.000,8,3.1,1.3,1
2020-04-18 11:31:30.000,7,5.0,0.5,3
2020-04-18 11:46:30.001,7,0.0,0.0,0
2020-04-18 12:01:30.000,7,4.1,0.2,1
2020-04-18 12:16:30.000,8,0.0,0.0,0
2020-04-18 12:31:30.000,8,0.0,0.0,0
2020-04-18 12:46:30.001,8,6.7,0.9,4
2020-04-18 13:01:30.000,8,1.2,0.2,1
2020-04-18 13:16:30.000,9,4.9,0.7,2
2020-04-18 13:31:30.000,9,5.1,1.3,2
2020-04-18 13:46:30.000,9,5.3,1.2,2
2020-04-18 14:01:30.000,10,0.0,0.0,0
2020-04-18 14:16:30.001,9,2.8,0.2,1
2020-04-18 14:31:30.000,9,2.2,1.1,1
2020-04-18 14:46:30.000,9,4.5,1.1,1
2020-04-18 15:01:30.001,9,8.4,1.1,4
2020-04-18 15:16:30.000,10,2.4,0.2,1
2020-04-18 15:31:30.000,10,0.0,0.0,0
2020-04-18 15:46:30.000,10,0.0,0.0,0
2020-04-18 16:01:30.000,10,6.3,0.6,3
2020-04-18 16:16:30.000,10,3.8,0.1,1
2020-04-18 16:31:30.000,9,0.0,0.0,0
2020-04-18 16:46:30.001,9,0.0,0.0,0
2020-04-18 17:01:30.000,9,0.0,0.0,0
2020-04-18 17:16:30.000,8,0.0,0.0,0
2020-04-18 17:31:30.001,7,0.0,0.0,0
2020-04-18 17:46:30.001,6,0.0,0.0,0
2020-04-18 18:01:30.001,5,2.6,0.3,1
2020-04-18 18:16:30.000,5,4.9,0.4,2
2020-04-18 18:31:30.000,5,3.8,1.4,1
2020-04-18 18:46:30.000,5,0.0,0.0,0
2020-04-18 19:01:30.000,4,1.6,2.1,1
2020-04-18 19:16:30.000,4,0.0,0.0,0
2020-04-18 19:31:30.000,3,0.0,0.0,0
2020-04-18 19:46:30.000,3,0.0,0.0,0
2020-04-18 20:01:30.000,2,0.0,0.0,0
2020-04-18 20:16:30.000,2,0.0,0.0,0
2020-04-18 20:31:30.000,2,0.0,0.0,0
2020-04-18 20:46:30.000,1,3.6,1.3,1
2020-04-18 21:01:30.000,0,3.7,1.3,1
2020-04-18 21:16:30.000,0,6.0,0.5,2
2020-04-18 21:31:30.001,0,3.3,0.2,1
2020-04-18 21:46:30.000,1,2.9,0.1,1
2020-04-18 22:01:30.000,0,1.0,1.2,1
2020-04-18 22:16:30.000,0,0.0,0.0,0
2020-04-18 22:31:30.000,1,0.0,0.0,0
2020-04-18 22:46:30.001,0,0.0,0.0,0
2020-04-18 23:01:30.000,0,0.0,0.0,0
2020-04-18 23:16:30.000,0,3.9,0.1,1
2020-04-18 23:31:30.000,0,3.0,0.1,1
2020-04-18 23:46:30.001,0,2.1,0.7,1
2020-04-19 00:01:30.000,0,2.1,0.7,1
2020-04-19 00:16:30.000,0,0.0,0.0,0
2020-04-19 00:31:30.000,0,0.0,0.0,0
2020-04-19 00:46:30.001,0,0.0,0.0,0
2020-04-19 01:01:30.001,0,0.0,0.0,0
2020-04-19 01:16:30.000,0,0.0,0.0,0
2020-04-19 01:31:30.001,0,0.0,0.0,0
2020-04-19 01:46:30.001,0,0.0,0.0,0
2020-04-19 02:01:30.001,0,0.0,0.0,0
2020-04-19 02:16:30.000,0,0.0,0.0,0
2020-04-19 02:31:30.000,0,0.0,0.0,0
2020-04-19 02:46:30.000,0,0.0,0.0,0
2020-04-19 03:01:30.000,0,0.0,0.0,0
2020-04-19 03:16:30.000,0,2.3,0.1,1
2020-04-19 03:31:30.000,1,2.3,0.1,1
2020-04-19 03:46:30.000,0,0.0,0.0,0
2020-04-19 04:01:30.000,0,0.0,0.0,0
2020-04-19 04:16:30.000,1,0.0,0.0,0
2020-04-19 04:31:30.000,2,0.0,0.0,0
2020-04-19 04:46:30.000,2,0.0,0.0,0
