Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-13 07:31:30.000,14,241.3,23.9,65
2020-04-13 07:46:30.000,15,243.9,26.9,66
2020-04-13 08:01:30.000,15,217.4,24.4,59
2020-04-13 08:16:30.000,14,188.4,20.3,56
2020-04-13 08:31:30.001,15,209.1,20.5,60
2020-04-13 08:46:30.000,14,135.5,16.8,42
2020-04-13 09:01:30.000,13,160.1,16.8,45
2020-04-13 09:16:30.001,13,200.1,23.7,54
2020-04-13 09:31:30.000,14,192.8,18.9,54
2020-04-13 09:46:30.000,13,211.6,21.2,52
2020-04-13 10:01:30.001,13,171.2,21.3,49
2020-04-13 10:16:30.000,12,142.2,17.0,40
2020-04-13 10:31:30.000,11,177.6,15.5,42
2020-04-13 10:46:30.000,10,113.8,13.3,26
2020-04-13 11:01:30.000,10,91.8,11.3,21
2020-04-13 11:16:30.000,8,82.9,8.7,26
2020-04-13 11:31:30.000,7,45.4,5.2,17
2020-04-13 11:46:30.000,6,53.5,6.1,20
2020-04-13 12:01:30.000,5,37.0,4.0,13
2020-04-13 12:16:30.000,3,58.7,5.6,20
2020-04-13 12:31:30.001,3,33.8,2.8,11
2020-04-13 12:46:30.000,2,29.5,2.2,11
2020-04-13 13:01:30.001,1,19.2,2.9,7
2020-04-13 13:16:30.001,0,49.3,4.1,15
2020-04-13 13:31:30.001,0,28.3,3.4,12
2020-04-13 13:46:30.001,0,15.8,1.5,6
2020-04-13 14:01:30.000,0,14.5,1.9,6
2020-04-13 14:16:30.000,0,5.7,0.8,3
2020-04-13 14:31:30.000,0,18.1,1.4,4
2020-04-13 14:46:30.000,0,4.6,0.6,2
2020-04-13 15:01:30.000,0,30.2,2.3,9
2020-04-13 15:16:30.000,0,14.5,1.2,4
2020-04-13 15:31:30.000,0,6.8,0.7,3
2020-04-13 15:46:30.000,0,15.3,0.9,4
2020-04-13 16:01:30.000,0,25.2,3.5,10
2020-04-13 16:16:30.000,0,14.9,3.5,6
2020-04-13 16:31:30.001,0,12.6,1.1,5
2020-04-13 16:46:30.000,0,11.7,0.7,3
2020-04-13 17:01:30.000,0,12.6,4.3,6
2020-04-13 17:16:30.000,0,1.4,1.7,2
2020-04-13 17:31:30.000,0,7.3,2.3,3
2020-04-13 17:46:30.000,0,6.5,0.9,3
2020-04-13 18:01:30.000,0,4.9,0.4,2
2020-04-13 18:16:30.000,0,7.0,0.7,3
2020-04-13 18:31:30.000,0,7.1,1.8,4
2020-04-13 18:46:30.000,0,11.2,2.0,4
2020-04-13 19:01:30.000,0,12.1,0.7,4
2020-04-13 19:16:30.000,0,3.4,0.1,1
2020-04-13 19:31:30.000,0,4.0,0.2,1
2020-04-13 19:46:30.000,0,4.0,0.2,1
2020-04-13 20:01:30.000,0,5.0,0.1,1
2020-04-13 20:16:30.000,0,2.2,0.1,1
2020-04-13 20:31:30.000,0,7.8,0.3,2
2020-04-13 20:46:30.001,0,6.2,0.5,3
2020-04-13 21:01:30.001,0,4.9,0.3,2
2020-04-13 21:16:30.000,0,4.9,1.1,2
2020-04-13 21:31:30.000,0,3.5,0.4,2
2020-04-13 21:46:30.000,0,8.8,0.7,2
2020-04-13 22:01:30.000,0,1.4,0.3,2
2020-04-13 22:16:30.000,0,7.5,2.5,4
2020-04-13 22:31:30.001,0,0.0,0.0,0
2020-04-13 22:46:30.000,0,7.9,0.3,2
2020-04-13 23:01:30.000,0,14.8,1.2,4
2020-04-13 23:16:30.000,0,14.1,2.0,6
2020-04-13 23:31:30.000,2,5.8,1.6,3
2020-04-13 23:46:30.000,5,25.6,3.3,8
2020-04-14 00:01:30.000,9,48.6,14.5,13
2020-04-14 00:16:30.000,14,85.8,25.0,20
2020-04-14 00:31:30.000,19,155.3,31.7,36
2020-04-14 00:46:30.000,23,193.5,35.7,43
2020-04-14 01:01:30.000,26,197.1,43.7,54
