Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-13 07:31:00.000,23,238.3,51.9,107
2020-04-13 07:46:00.000,23,233.1,55.6,104
2020-04-13 08:01:30.000,23,188.8,48.9,92
2020-04-13 08:16:00.000,23,251.2,60.6,119
2020-04-13 08:31:00.000,26,485.2,93.8,191
2020-04-13 08:46:00.000,27,702.0,134.3,251
2020-04-13 09:01:30.000,29,839.9,157.3,282
2020-04-13 09:16:00.000,29,852.0,166.5,279
2020-04-13 09:31:00.000,29,888.0,166.0,260
2020-04-13 09:46:00.000,28,827.5,150.1,240
2020-04-13 10:01:00.000,26,624.0,111.3,184
2020-04-13 10:16:30.000,23,425.6,71.7,114
2020-04-13 10:31:30.000,19,349.0,59.6,100
2020-04-13 10:46:30.000,16,239.7,44.9,83
2020-04-13 11:01:30.000,13,122.1,26.1,52
2020-04-13 11:16:30.000,10,89.9,15.4,40
2020-04-13 11:31:30.000,8,54.0,8.5,18
2020-04-13 11:46:30.000,6,52.5,7.6,20
2020-04-13 12:01:30.000,4,42.8,7.5,22
2020-04-13 12:16:30.001,3,28.0,8.3,15
2020-04-13 12:31:30.000,1,23.7,9.5,12
2020-04-13 12:46:30.000,0,32.8,7.9,14
2020-04-13 13:01:30.000,0,26.9,6.1,16
2020-04-13 13:16:30.000,0,55.0,10.0,21
2020-04-13 13:31:30.000,0,35.1,5.8,17
2020-04-13 13:46:30.000,0,28.2,9.3,9
2020-04-13 14:01:30.000,0,24.0,3.7,11
2020-04-13 14:16:30.000,0,10.9,2.7,10
2020-04-13 14:31:30.001,0,28.3,4.0,12
2020-04-13 14:46:30.000,0,15.0,2.7,7
2020-04-13 15:01:30.000,0,27.2,3.6,7
2020-04-13 15:16:30.000,0,37.7,6.3,13
2020-04-13 15:31:30.000,0,16.7,3.5,10
2020-04-13 15:46:30.000,0,11.0,3.7,8
2020-04-13 16:01:30.000,0,6.5,3.5,8
2020-04-13 16:16:30.000,0,15.9,4.1,10
2020-04-13 16:31:30.000,0,57.7,8.1,10
2020-04-13 16:46:30.000,0,4.0,1.4,4
2020-04-13 17:01:30.000,0,15.5,5.0,11
2020-04-13 17:16:30.000,0,23.3,9.9,10
2020-04-13 17:31:30.000,0,9.3,4.8,13
2020-04-13 17:46:30.000,0,19.1,6.0,12
2020-04-13 18:01:30.000,0,10.6,3.7,9
2020-04-13 18:16:30.000,0,13.9,5.4,12
2020-04-13 18:31:30.000,0,4.4,1.9,6
2020-04-13 18:46:30.001,0,19.3,4.8,3
2020-04-13 19:01:30.000,0,11.6,5.4,13
2020-04-13 19:16:30.000,0,8.9,3.1,8
2020-04-13 19:31:30.000,0,4.6,4.0,7
2020-04-13 19:46:30.000,0,4.1,3.0,5
2020-04-13 20:01:30.000,0,9.1,5.0,8
2020-04-13 20:16:30.000,0,26.7,9.0,18
2020-04-13 20:31:30.000,0,34.6,6.6,15
2020-04-13 20:46:30.000,0,31.0,4.7,15
2020-04-13 21:01:30.001,1,47.4,13.5,21
2020-04-13 21:16:30.001,4,153.3,44.7,61
2020-04-13 21:31:30.000,9,336.3,83.1,115
2020-04-13 21:46:30.000,15,651.7,143.8,195
2020-04-13 22:01:00.000,21,1068.6,219.6,283
2020-04-13 22:16:00.001,27,1653.9,310.1,414
2020-04-13 22:31:00.000,32,2180.7,388.9,534
2020-04-13 22:46:00.000,36,2565.8,428.4,585
2020-04-13 23:01:00.000,38,2495.3,424.9,598
2020-04-13 23:16:00.000,39,2309.1,405.1,589
2020-04-13 23:31:00.000,38,1906.6,322.4,482
2020-04-13 23:46:00.001,36,1573.7,254.4,429
2020-04-14 00:01:00.000,32,1013.8,167.0,295
2020-04-14 00:16:30.000,29,769.4,124.8,239
2020-04-14 00:31:00.000,28,774.5,121.2,251
