Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-13 07:31:30.000,6,59.6,8.0,10
2020-04-13 07:46:30.000,6,32.1,4.4,7
2020-04-13 08:01:30.001,6,47.0,6.2,11
2020-04-13 08:16:30.000,6,44.0,7.3,16
2020-04-13 08:31:30.000,6,56.3,6.6,14
2020-04-13 08:46:30.000,6,52.1,6.8,15
2020-04-13 09:01:30.000,5,36.4,4.7,12
2020-04-13 09:16:30.000,5,33.2,5.1,14
2020-04-13 09:31:30.001,5,39.0,3.8,12
2020-04-13 09:46:30.000,5,31.1,3.8,10
2020-04-13 10:01:30.000,5,44.6,4.5,13
2020-04-13 10:16:30.001,5,39.5,4.6,12
2020-04-13 10:31:30.001,5,42.8,4.6,13
2020-04-13 10:46:30.000,4,35.2,3.6,11
2020-04-13 11:01:30.001,4,17.9,2.2,5
2020-04-13 11:16:30.000,4,28.3,3.0,10
2020-04-13 11:31:30.000,3,18.0,3.6,6
2020-04-13 11:46:30.000,2,17.4,2.5,5
2020-04-13 12:01:30.001,2,13.0,1.9,4
2020-04-13 12:16:30.000,1,23.7,3.9,10
2020-04-13 12:31:30.000,1,15.9,2.3,5
2020-04-13 12:46:30.000,0,23.4,3.0,7
2020-04-13 13:01:30.001,1,26.3,3.0,8
2020-04-13 13:16:30.000,1,27.1,6.3,9
2020-04-13 13:31:30.000,1,31.7,6.5,8
2020-04-13 13:46:30.000,1,26.3,4.9,6
2020-04-13 14:01:30.000,2,14.9,3.4,5
2020-04-13 14:16:30.000,2,28.1,5.5,9
2020-04-13 14:31:30.001,3,31.0,4.7,12
2020-04-13 14:46:30.000,3,38.6,4.9,12
2020-04-13 15:01:30.000,4,61.8,6.2,15
2020-04-13 15:16:30.000,6,46.4,6.6,17
2020-04-13 15:31:30.000,6,49.1,7.2,13
2020-04-13 15:46:30.000,7,80.6,10.0,21
2020-04-13 16:01:30.000,7,90.8,12.3,24
2020-04-13 16:16:30.000,8,73.9,14.0,20
2020-04-13 16:31:30.000,7,63.2,9.3,17
2020-04-13 16:46:30.000,7,68.7,11.3,16
2020-04-13 17:01:30.000,7,39.0,9.2,12
2020-04-13 17:16:30.000,7,40.2,6.7,15
2020-04-13 17:31:30.000,6,20.0,5.0,9
2020-04-13 17:46:30.000,5,30.1,3.6,8
2020-04-13 18:01:30.000,5,57.8,7.9,14
2020-04-13 18:16:30.000,5,13.4,4.3,7
2020-04-13 18:31:30.000,3,8.8,2.7,4
2020-04-13 18:46:30.000,3,18.8,4.9,9
2020-04-13 19:01:30.000,2,23.5,3.3,9
2020-04-13 19:16:30.000,2,32.5,2.3,10
2020-04-13 19:31:30.000,1,28.0,1.5,8
2020-04-13 19:46:30.001,0,40.2,2.3,9
2020-04-13 20:01:30.001,0,12.6,2.9,6
2020-04-13 20:16:30.000,0,23.2,1.3,7
2020-04-13 20:31:30.000,0,17.9,0.8,5
2020-04-13 20:46:30.000,0,13.1,0.9,4
2020-04-13 21:01:30.000,0,1.9,1.1,2
2020-04-13 21:16:30.001,0,21.0,6.9,4
2020-04-13 21:31:30.001,0,31.1,2.9,4
2020-04-13 21:46:30.000,0,16.3,1.4,4
2020-04-13 22:01:30.000,1,8.1,0.6,2
2020-04-13 22:16:30.001,1,7.6,0.7,2
2020-04-13 22:31:30.000,1,8.1,2.4,3
2020-04-13 22:46:30.000,1,5.7,0.5,2
2020-04-13 23:01:30.000,1,0.0,0.0,0
2020-04-13 23:16:30.000,0,0.0,0.0,0
2020-04-13 23:31:30.001,0,0.0,0.0,0
2020-04-13 23:46:30.000,0,0.0,0.0,0
2020-04-14 00:01:30.000,0,3.5,0.2,1
2020-04-14 00:16:30.000,0,4.8,1.4,2
2020-04-14 00:31:30.000,0,5.5,1.5,2
2020-04-14 00:46:30.000,0,0.0,0.0,0
2020-04-14 01:01:30.000,0,0.0,0.0,0
2020-04-14 01:16:30.000,0,8.2,9.0,2
2020-04-14 01:31:30.000,0,2.7,5.4,2
2020-04-14 01:46:30.000,0,0.8,1.9,1
2020-04-14 02:01:30.001,0,4.3,1.9,1
2020-04-14 02:16:30.000,0,0.0,0.0,0
2020-04-14 02:31:30.000,0,0.0,0.0,0
2020-04-14 02:46:30.001,0,0.0,0.0,0
2020-04-14 03:01:30.000,0,0.8,0.2,1
2020-04-14 03:16:30.000,0,3.9,0.4,1
2020-04-14 03:31:30.000,0,7.9,0.5,2
2020-04-14 03:46:30.000,0,0.0,0.0,0
2020-04-14 04:01:30.000,0,0.0,0.0,0
2020-04-14 04:16:30.001,0,0.0,0.0,0
2020-04-14 04:31:30.000,0,5.9,0.7,2
2020-04-14 04:46:30.000,0,14.2,0.6,1
2020-04-14 05:01:30.001,0,18.6,1.3,4
2020-04-14 05:16:30.000,2,6.5,1.1,3
2020-04-14 05:31:30.000,3,18.6,1.7,6
2020-04-14 05:46:30.000,3,23.8,4.6,6
2020-04-14 06:01:30.000,3,34.3,8.2,10
2020-04-14 06:16:30.000,3,26.0,11.7,8
2020-04-14 06:31:30.001,4,53.4,10.6,8
2020-04-14 06:46:30.000,5,66.3,11.3,6
2020-04-14 07:01:30.000,6,23.4,5.6,6
2020-04-14 07:16:30.000,5,8.8,4.3,6
2020-04-14 07:31:30.001,5,26.5,5.3,8
2020-04-14 07:46:30.001,5,16.0,3.1,7
2020-04-14 08:01:30.000,5,43.0,4.9,11
2020-04-14 08:16:30.000,5,58.2,6.0,14
2020-04-14 08:31:30.000,5,49.1,6.6,11
2020-04-14 08:46:30.001,5,40.2,4.6,8
2020-04-14 09:01:30.000,5,50.3,6.5,11
2020-04-14 09:16:30.000,5,51.6,6.0,11
2020-04-14 09:31:30.000,5,37.3,5.1,13
2020-04-14 09:46:30.001,5,23.0,4.4,9
2020-04-14 10:01:30.000,5,30.3,4.1,12
2020-04-14 10:16:30.000,5,18.8,3.1,8
2020-04-14 10:31:30.000,5,39.2,4.7,11
2020-04-14 10:46:30.001,5,47.3,5.0,14
2020-04-14 11:01:30.000,4,23.4,3.7,8
2020-04-14 11:16:30.000,4,7.5,0.9,4
2020-04-14 11:31:30.001,3,22.4,2.5,8
2020-04-14 11:46:30.000,3,7.2,0.5,3
2020-04-14 12:01:30.001,2,11.2,2.1,5
2020-04-14 12:16:30.000,1,7.3,0.5,3
2020-04-14 12:31:30.000,1,18.1,1.3,5
2020-04-14 12:46:30.000,0,17.9,1.1,6
2020-04-14 13:01:30.001,0,14.5,1.0,5
2020-04-14 13:16:30.000,1,42.3,4.1,11
2020-04-14 13:31:30.000,1,33.2,4.3,9
