Date,Time gap,Count,Average speed
2020-02-01,1,1,13
2020-02-01,2,2,22
2020-02-01,3,4,17
2020-02-01,4,6,19
2020-02-01,5,2,23
2020-02-01,6,1,20
2020-02-01,7,1,18
2020-02-01,8,2,8
2020-02-01,9,3,14
2020-02-01,10,1,14
2020-02-01,12,4,17
2020-02-01,13,1,16
2020-02-01,15,1,12
2020-02-01,16,2,14
2020-02-01,17,1,9
2020-02-01,20,3,14
2020-02-01,23,1,13
2020-02-01,25,1,17
2020-02-01,27,2,13
2020-02-01,29,3,21
2020-02-01,32,4,16
2020-02-01,33,3,20
2020-02-01,34,4,18
2020-02-01,35,3,19
2020-02-01,36,6,16
2020-02-01,37,5,19
2020-02-01,38,3,15
2020-02-01,39,5,22
2020-02-01,40,6,17
2020-02-01,41,7,19
2020-02-01,42,7,18
2020-02-01,43,2,22
2020-02-01,44,8,13
2020-02-01,45,8,16
2020-02-01,46,5,13
2020-02-01,47,4,17
2020-02-01,48,11,17
2020-02-01,49,10,16
2020-02-01,50,8,19
2020-02-01,51,9,14
2020-02-01,52,11,17
2020-02-01,53,4,26
2020-02-01,54,8,15
2020-02-01,55,9,17
2020-02-01,56,7,19
2020-02-01,57,7,14
2020-02-01,58,11,18
2020-02-01,59,7,18
2020-02-01,60,9,16
2020-02-01,61,13,18
2020-02-01,62,10,15
2020-02-01,63,10,16
2020-02-01,64,12,20
2020-02-01,65,10,19
2020-02-01,66,10,21
2020-02-01,67,11,16
2020-02-01,68,6,19
2020-02-01,69,5,19
2020-02-01,70,7,20
2020-02-01,71,4,16
2020-02-01,72,11,17
2020-02-01,73,6,18
2020-02-01,74,6,16
2020-02-01,75,5,16
2020-02-01,76,9,16
2020-02-01,77,11,19
2020-02-01,78,10,14
2020-02-01,79,4,20
2020-02-01,80,6,14
2020-02-01,81,8,18
2020-02-01,82,4,19
2020-02-01,83,10,21
2020-02-01,84,4,19
2020-02-01,85,2,16
2020-02-01,86,4,17
2020-02-01,87,5,16
2020-02-01,88,3,20
2020-02-01,89,4,16
2020-02-01,90,6,17
2020-02-01,91,3,18
2020-02-01,92,3,18
2020-02-01,93,2,21
2020-02-01,95,4,17
2020-02-01,96,2,21
2020-02-02,1,6,18
2020-02-02,2,1,14
2020-02-02,3,1,28
2020-02-02,4,2,19
2020-02-02,5,1,19
2020-02-02,6,2,21
2020-02-02,7,3,14
2020-02-02,8,2,20
2020-02-02,10,1,15
