Date,Time gap,Count,Average speed
2020-02-01,1,3,13
2020-02-01,4,2,30
2020-02-01,6,1,21
2020-02-01,24,1,18
2020-02-01,32,1,29
2020-02-01,35,1,22
2020-02-01,37,1,27
2020-02-01,38,1,24
2020-02-01,40,2,22
2020-02-01,42,1,20
2020-02-01,43,1,26
2020-02-01,44,2,23
2020-02-01,45,2,17
2020-02-01,46,1,16
2020-02-01,47,2,17
2020-02-01,48,1,17
2020-02-01,50,1,4
2020-02-01,51,3,25
2020-02-01,52,2,20
2020-02-01,54,1,26
2020-02-01,55,3,21
2020-02-01,57,6,21
2020-02-01,58,4,20
2020-02-01,59,2,18
2020-02-01,60,2,18
2020-02-01,61,3,24
2020-02-01,62,2,12
2020-02-01,63,4,16
2020-02-01,64,1,17
2020-02-01,65,7,18
2020-02-01,66,1,20
2020-02-01,68,5,15
2020-02-01,70,2,24
2020-02-01,71,1,22
2020-02-01,76,2,22
2020-02-01,78,1,24
2020-02-01,80,2,24
2020-02-01,88,1,21
2020-02-01,91,1,10
2020-02-02,3,3,26
2020-02-02,18,1,20
2020-02-02,28,1,23
2020-02-02,35,2,24
2020-02-02,36,1,34
2020-02-02,40,1,15
2020-02-02,45,2,20
2020-02-02,47,1,17
2020-02-02,48,2,32
2020-02-02,49,3,21
2020-02-02,50,1,16
2020-02-02,51,2,18
2020-02-02,52,1,25
2020-02-02,53,4,15
2020-02-02,54,1,18
2020-02-02,55,1,24
2020-02-02,58,4,16
2020-02-02,60,2,9
2020-02-02,62,5,19
2020-02-02,63,1,6
2020-02-02,64,5,21
2020-02-02,65,1,19
2020-02-02,66,2,16
2020-02-02,67,2,21
2020-02-02,68,2,16
2020-02-02,70,1,19
2020-02-02,71,1,11
2020-02-02,72,2,14
2020-02-02,75,1,24
2020-02-02,76,1,13
2020-02-02,78,1,14
2020-02-02,79,1,17
2020-02-02,84,1,18
2020-02-02,86,1,25
2020-02-03,20,1,14
2020-02-03,23,2,16
2020-02-03,25,2,17
2020-02-03,26,4,18
2020-02-03,27,5,19
2020-02-03,28,5,18
2020-02-03,29,6,20
2020-02-03,30,4,22
2020-02-03,31,3,18
2020-02-03,32,6,21
2020-02-03,33,2,20
2020-02-03,34,2,23
2020-02-03,35,2,18
2020-02-03,36,3,17
2020-02-03,37,3,29
2020-02-03,38,2,19
2020-02-03,39,1,23
2020-02-03,41,1,15
2020-02-03,42,1,17
2020-02-03,44,2,25
2020-02-03,45,1,12
2020-02-03,46,4,23
2020-02-03,47,3,22
2020-02-03,48,2,23
2020-02-03,49,4,20
2020-02-03,51,4,22
2020-02-03,55,3,13
2020-02-03,56,1,19
2020-02-03,58,3,19
2020-02-03,59,8,16
2020-02-03,60,5,17
2020-02-03,61,7,24
2020-02-03,62,3,28
2020-02-03,63,3,18
2020-02-03,64,1,21
2020-02-03,65,4,18
2020-02-03,66,3,27
2020-02-03,67,5,20
2020-02-03,68,5,22
2020-02-03,69,4,22
2020-02-03,70,2,15
2020-02-03,71,1,23
2020-02-03,72,1,33
2020-02-03,73,4,24
2020-02-03,74,1,18
2020-02-03,75,1,21
2020-02-03,76,1,22
2020-02-03,79,2,20
2020-02-03,82,1,24
2020-02-03,88,1,31
2020-02-04,18,1,13
2020-02-04,21,1,16
2020-02-04,23,1,16
2020-02-04,25,2,17
2020-02-04,26,1,21
2020-02-04,27,5,22
2020-02-04,28,8,22
2020-02-04,29,6,20
2020-02-04,30,8,19
2020-02-04,31,1,17
2020-02-04,32,4,23
2020-02-04,33,3,20
2020-02-04,34,1,12
