Date,Time gap,Count,Average speed
2020-02-01,24,1,22
2020-02-01,29,1,21
2020-02-01,33,2,18
2020-02-01,34,2,22
2020-02-01,36,1,30
2020-02-01,38,2,34
2020-02-01,42,2,15
2020-02-01,43,1,29
2020-02-01,44,2,19
2020-02-01,45,1,13
2020-02-01,46,1,34
2020-02-01,47,1,18
2020-02-01,48,1,22
2020-02-01,50,4,22
2020-02-01,52,2,18
2020-02-01,53,1,4
2020-02-01,55,1,19
2020-02-01,56,1,20
2020-02-01,57,2,24
2020-02-01,58,1,20
2020-02-01,59,1,28
2020-02-01,62,1,30
2020-02-01,63,1,25
2020-02-01,65,1,20
2020-02-01,71,3,14
2020-02-01,73,1,33
2020-02-01,75,1,42
2020-02-01,76,1,27
2020-02-01,77,1,28
2020-02-01,80,1,23
2020-02-01,82,1,18
2020-02-01,85,1,25
2020-02-01,86,2,19
2020-02-02,3,1,20
2020-02-02,5,1,17
2020-02-02,24,1,20
2020-02-02,27,1,28
2020-02-02,30,1,22
2020-02-02,32,1,29
2020-02-02,34,1,14
2020-02-02,38,1,25
2020-02-02,41,1,21
2020-02-02,42,2,15
2020-02-02,46,1,24
2020-02-02,48,2,31
2020-02-02,49,1,19
2020-02-02,50,2,22
2020-02-02,53,3,20
2020-02-02,55,3,12
2020-02-02,56,2,25
2020-02-02,58,1,18
2020-02-02,59,5,17
2020-02-02,60,1,26
2020-02-02,61,1,24
2020-02-02,62,1,21
2020-02-02,63,2,25
2020-02-02,65,2,26
2020-02-02,66,1,18
2020-02-02,67,1,25
2020-02-02,68,2,31
2020-02-02,70,1,36
2020-02-02,73,1,19
2020-02-02,77,2,29
2020-02-02,78,3,27
2020-02-02,80,1,36
2020-02-02,84,1,35
2020-02-03,23,2,25
2020-02-03,24,1,26
2020-02-03,25,4,25
2020-02-03,26,2,28
2020-02-03,27,3,29
2020-02-03,28,1,33
2020-02-03,29,5,28
2020-02-03,30,4,28
2020-02-03,31,8,26
2020-02-03,32,5,29
2020-02-03,33,3,25
2020-02-03,34,2,26
2020-02-03,35,1,14
2020-02-03,37,1,40
2020-02-03,40,1,17
2020-02-03,41,2,26
2020-02-03,43,1,47
2020-02-03,46,1,15
2020-02-03,47,2,29
2020-02-03,48,2,32
2020-02-03,50,1,20
2020-02-03,53,1,23
2020-02-03,57,2,28
2020-02-03,58,2,28
2020-02-03,59,1,12
