name,date_time,n_baseline,n_crisis,percent_change
Aalst,2020-04-14,75883.601844722,80140,0.056091145541400676
Dinant,2020-04-14,26914.6666666667,28404,0.05533538095709765
Soignies,2020-04-14,47488.955028516,49604,0.044537618699210475
Arlon,2020-04-14,17164.0997446965,18058,0.05207964697243753
Oudenaarde,2020-04-14,29585.3333333334,31615,0.06860381269998403
Brugge,2020-04-14,75927.198446002,74878,-0.013818479642024106
Philippeville,2020-04-14,15824.499999999898,17196,0.08666940503650104
Turnhout,2020-04-14,117306.72322348,121277,0.03384526195447688
Ath,2020-04-14,21484.6238601906,22937,0.06760072455820572
Halle-Vilvoorde,2020-04-14,146788.634488299,150634,0.026196616142018354
Veurne,2020-04-14,15485.9075103545,15347,-0.008969930258308787
Hasselt,2020-04-14,118980.39758903,118997,0.00013953904429988675
Kortrijk,2020-04-14,78361.42225778001,78553,0.0024447966448307968
Liège,2020-04-14,164506.480340156,161865,-0.016056998695091654
Mouscron,2020-04-14,21988.1077317598,22532,0.024735746926262257
Sint-Niklaas,2020-04-14,69427.94453601801,70291,0.012430952259205241
Eeklo,2020-04-14,22502.1666666667,23816,0.0583869701436142
Tielt,2020-04-14,24660.521515247798,25752,0.044260154193305784
Oostende,2020-04-14,43701.34226196,44876,0.02687921416689489
Bastogne,2020-04-14,11696.9947237528,12408,0.060785295115452144
Antwerpen,2020-04-14,262674.575659539,260421,-0.008579344437430286
Waremme,2020-04-14,19824.1666666667,21344,0.07666568582117601
Huy,2020-04-14,27932.583333333,29599,0.05965852305104918
Neufchâteau,2020-04-14,15423.501060854,15880,0.02959762101645189
Brussel Hoofdstad,2020-04-14,303100.333333333,275885,-0.08978984956576441
Virton,2020-04-14,12442.6666666667,13548,0.08883411915987702
Dendermonde,2020-04-14,52958.441005816,56238,0.06192703055257675
Thuin,2020-04-14,37114.75,39226,0.05688439232380657
Tournai,2020-04-14,38564.008403727,38618,0.0014000514601014106
Verviers,2020-04-14,59277.236111111,61670,0.04036564532806375
Mechelen,2020-04-14,82637.17511028,83727,0.013188070481180111
Nivelles,2020-04-14,89849.997189828,90505,0.007289959161469489
Namur,2020-04-14,79015.389647521,79514,0.006310294168050557
Diksmuide,2020-04-14,13187.25,14133,0.07171699937439573
Mons,2020-04-14,68030.152443871,67919,-0.0016338702748419007
Maaseik,2020-04-14,58852.605343129995,61283,0.041296296785843324
Gent,2020-04-14,150034.102156507,143419,-0.04409065713344624
Charleroi,2020-04-14,117561.01600089401,118583,0.00869322190187786
Roeselare,2020-04-14,43188.200711749,44460,0.02944784147733707
Tongeren,2020-04-14,54433.249999999,57601,0.05819512889642001
Ieper,2020-04-14,27015.6666666666,28266,0.04628178711118503
Leuven,2020-04-14,113110.19440698202,114231,0.009908970618379549
Marche-en-Famenne,2020-04-14,15010.4535801696,15442,0.02874972548467945
Charleroi,2020-04-15,117603.171662079,118425,0.006988147737056328
Tielt,2020-04-15,24697.249999999898,25702,0.040682667098567896
Bastogne,2020-04-15,11644.7755866581,12436,0.0679467291966055
Verviers,2020-04-15,59103.607833117,61781,0.04529997854687309
Veurne,2020-04-15,15397.1496999462,15386,-0.0007241405171399125
Hasselt,2020-04-15,118809.195215615,118786,-0.00019523081166317207
Mechelen,2020-04-15,82481.032684485,84058,0.019119150963438743
Marche-en-Famenne,2020-04-15,14943.698122087299,15467,0.035018231339887906
Namur,2020-04-15,79075.96227361,79693,0.007803101077100958
Ath,2020-04-15,21470.4851861801,22973,0.06998047788817661
Oostende,2020-04-15,43563.866304976,44962,0.032093884533483226
Oudenaarde,2020-04-15,29573.2499999997,31514,0.06562518492219549
Soignies,2020-04-15,47539.379172719,49631,0.04399764708078694
Huy,2020-04-15,27973.5000000003,29625,0.05903801812428491
Leuven,2020-04-15,113400.07081424602,114572,0.010334466084008426
Dinant,2020-04-15,26893.951575259598,28394,0.055776423205890394
Neufchâteau,2020-04-15,15393.453262170799,15994,0.03901312639867734
Kortrijk,2020-04-15,78376.43913013401,78863,0.006207999180188842
Antwerpen,2020-04-15,262569.078608432,261198,-0.005221782457014715
Tongeren,2020-04-15,54339.75,57303,0.05453190344085131
Tournai,2020-04-15,38698.524748667,38767,0.001769453791267868
Brussel Hoofdstad,2020-04-15,302973.975268105,274363,-0.09443377188679926
Dendermonde,2020-04-15,53105.708333334,56476,0.06346383039486735
Virton,2020-04-15,12383.997534274898,13478,0.08834000997636318
Arlon,2020-04-15,16993.601454261,18200,0.07099134041633692
Thuin,2020-04-15,36680.781390339,39299,0.07137848514728178
Diksmuide,2020-04-15,13152.083333333401,14127,0.0741264058292357
Brugge,2020-04-15,75926.341640135,75057,-0.011449802813566076
Ieper,2020-04-15,27044.5254621561,28092,0.03873148150850901
Nivelles,2020-04-15,89819.064311451,90790,0.010809906515862173
Roeselare,2020-04-15,43110.639272088,44272,0.0269390746117727
Turnhout,2020-04-15,117043.98596373,120629,0.030629630448342222
Philippeville,2020-04-15,15744.0667465091,17058,0.08345577255522221
Eeklo,2020-04-15,22525.8333333334,23777,0.055543635085639226
Aalst,2020-04-15,75820.797788535,80248,0.058390340653134726
Waremme,2020-04-15,19872.250000000102,21423,0.07803595466038774
Maaseik,2020-04-15,58719.617205657996,60991,0.03868183926313372
Halle-Vilvoorde,2020-04-15,146985.627979859,150847,0.026270405298877933
Mons,2020-04-15,68289.834502815,67625,-0.009735482706252591
Gent,2020-04-15,150532.916666667,143894,-0.04410275714890923
Sint-Niklaas,2020-04-15,69255.71766461,70539,0.018529622949034364
Mouscron,2020-04-15,21914.2463129831,22558,0.029376035927619684
Liège,2020-04-15,165199.234195838,161984,-0.019462766952215185
Maaseik,2020-04-16,58525.134763969996,60686,0.03692200359289568
Namur,2020-04-16,78944.909514774,79367,0.005346646006947513
Thuin,2020-04-16,36444.17100207,39255,0.07712698411414956
Charleroi,2020-04-16,117226.841956377,118107,0.007508161347130107
Diksmuide,2020-04-16,13083.9110129674,14072,0.07551939065110645
Gent,2020-04-16,150350.083333334,143546,-0.04525493556427902
Mons,2020-04-16,68100.900895634,67677,-0.006224600409965697
Verviers,2020-04-16,58939.368107094,61343,0.0407814330234853
Dendermonde,2020-04-16,52868.436826553,56110,0.06131376995468374
Dinant,2020-04-16,26794.6495207604,28394,0.059689173317995094
Roeselare,2020-04-16,42974.416406589,44158,0.027541586189627196
Soignies,2020-04-16,47332.17801512701,49428,0.04427901002576269
Arlon,2020-04-16,17062.2449019883,18219,0.06779618418657805
Philippeville,2020-04-16,15705.5138888889,17045,0.08528763341253927
Oudenaarde,2020-04-16,29483.172588025198,31389,0.06464119172672983
Ath,2020-04-16,21298.8611111111,22784,0.06972855877792172
Halle-Vilvoorde,2020-04-16,146300.531005298,150728,0.03026283612423578
Liège,2020-04-16,164620.166666667,161591,-0.018400945206188794
Veurne,2020-04-16,15417.9094036222,15320,-0.006350368331986517
Tielt,2020-04-16,24527.3147747997,25667,0.04646595991711482
Mouscron,2020-04-16,21884.0560606545,22547,0.030293467422495373
Antwerpen,2020-04-16,262506.288771789,260471,-0.007753295287940261
Waremme,2020-04-16,19732.9883186526,21383,0.0836169187708751
Leuven,2020-04-16,112796.61036994701,114210,0.012530426450027131
Virton,2020-04-16,12307.4937889982,13450,0.09283012696078703
Hasselt,2020-04-16,118865.789966935,118543,-0.0027155834073436234
Oostende,2020-04-16,43522.537241668004,44759,0.02840971222487048
Marche-en-Famenne,2020-04-16,14974.5767020259,15452,0.03188225667237117
Brussel Hoofdstad,2020-04-16,304934.000000003,273519,-0.10302229334873354
Tournai,2020-04-16,38601.897292336,38680,0.002023286759003645
Sint-Niklaas,2020-04-16,69244.23589781401,70261,0.014683736328413835
Huy,2020-04-16,27696.5723952869,29657,0.07078231835816272
Brugge,2020-04-16,76015.273099617,74872,-0.01504004462522624
Tongeren,2020-04-16,54103.5,57207,0.05736227785633092
Mechelen,2020-04-16,82362.41376399,83811,0.0175879526814371
Nivelles,2020-04-16,89441.93551762801,90476,0.011561293663733268
Neufchâteau,2020-04-16,15431.3203790689,15862,0.027909447173119096
Kortrijk,2020-04-16,78335.704959232,78522,0.002378162561566997
Turnhout,2020-04-16,116747.194444444,120682,0.033703641224787105
Aalst,2020-04-16,75311.67266880699,79836,0.06007471578926862
Eeklo,2020-04-16,22431.5924129272,23604,0.052265909860110926
Ieper,2020-04-16,26941.8333333334,28052,0.041206055019762176
Bastogne,2020-04-16,11622.9026294231,12481,0.07382814757517164
Antwerpen,2020-04-17,261882.55718397902,259470,-0.009212363014632316
Mouscron,2020-04-17,22053.7077325238,22549,0.022458457937472656
Huy,2020-04-17,27764.4222941371,29527,0.06348332002697911
Dendermonde,2020-04-17,53072.25,56197,0.05887728521025583
Tielt,2020-04-17,24663.75,25654,0.040150017738583954
Veurne,2020-04-17,15923.403186498801,15246,-0.04254135743250917
Neufchâteau,2020-04-17,15482.931006030001,15813,0.02131825000327455
Kortrijk,2020-04-17,78344.969083712,78312,-0.0004208194105836211
Ath,2020-04-17,21492.3333333334,22807,0.06116909905857568
Waremme,2020-04-17,19932.920932297402,21248,0.06597523123526615
Sint-Niklaas,2020-04-17,68975.089445293,69661,0.009944322801509824
Bastogne,2020-04-17,12067.428760114999,12378,0.025736322630011643
Halle-Vilvoorde,2020-04-17,146020.07242758299,150188,0.02854352489438773
Maaseik,2020-04-17,59141.25,60591,0.024513347282987763
Aalst,2020-04-17,76001.49475154601,79553,0.046729413152518925
Nivelles,2020-04-17,88878.17974798099,90103,0.013780888126782699
