date_time,start_name,end_name,n_crisis,n_baseline,start_lat,start_lon,end_lat,end_lon
2020-04-14 0000,Eeklo,Gent,39,42.0,51.220134592101005,3.590890147859,51.060636817492,3.664133655134
2020-04-14 0000,Halle-Vilvoorde,Mechelen,14,12.8,50.851079717566,4.2727091172415,51.074751304095,4.526195057761901
2020-04-14 0000,Antwerpen,Turnhout,13,12.4,51.280587359548996,4.5060116242207,51.250102901016,4.9504212151206
2020-04-14 0000,Ieper,Kortrijk,14,12.6,50.849764103678,2.851607768751,50.82022156745,3.3180857192644
2020-04-14 0000,Brugge,Oostende,14,11.6,51.203015581247996,3.2204347794965,51.176698232275,2.9528867082907997
2020-04-14 0000,Aalst,Halle-Vilvoorde,16,21.6,50.874955561564,3.9487262485012002,50.851079717566,4.2727091172415
2020-04-14 0000,Dendermonde,Sint-Niklaas,24,25.4,51.038760537422,4.0355724630103,51.195034590373,4.143062838623
2020-04-14 0000,Soignies,Charleroi,14,21.6,50.597665082065,4.0451164078224,50.458216902291,4.4152261614461
2020-04-14 0000,Sint-Niklaas,Mechelen,11,26.8,51.195034590373,4.143062838623,51.074751304095,4.526195057761901
2020-04-14 0000,Mechelen,Antwerpen,19,22.0,51.074751304095,4.526195057761901,51.280587359548996,4.5060116242207
2020-04-14 0000,Antwerpen,Sint-Niklaas,79,76.4,51.280587359548996,4.5060116242207,51.195034590373,4.143062838623
2020-04-14 0000,Mechelen,Halle-Vilvoorde,11,16.4,51.074751304095,4.526195057761901,50.851079717566,4.2727091172415
2020-04-14 0000,Antwerpen,Mechelen,49,66.0,51.280587359548996,4.5060116242207,51.074751304095,4.526195057761901
2020-04-14 0000,Brussel Hoofdstad,Halle-Vilvoorde,191,354.0,50.836020816469,4.3707068069884,50.851079717566,4.2727091172415
2020-04-14 0000,Halle-Vilvoorde,Brussel Hoofdstad,156,392.8,50.851079717566,4.2727091172415,50.836020816469,4.3707068069884
2020-04-14 0000,Charleroi,Soignies,10,17.6,50.458216902291,4.4152261614461,50.597665082065,4.0451164078224
2020-04-14 0800,Tielt,Roeselare,12,14.2,50.999822739041996,3.3128638139388995,50.940243152523,3.1167142695792998
2020-04-14 0800,Kortrijk,Roeselare,10,18.8,50.82022156745,3.3180857192644,50.940243152523,3.1167142695792998
2020-04-14 0800,Kortrijk,Mouscron,17,16.4,50.82022156745,3.3180857192644,50.745555138017,3.0579233029126
2020-04-14 0800,Aalst,Halle-Vilvoorde,11,31.0,50.874955561564,3.9487262485012002,50.851079717566,4.2727091172415
2020-04-14 0800,Gent,Eeklo,14,44.6,51.060636817492,3.664133655134,51.220134592101005,3.590890147859
2020-04-14 0800,Gent,Sint-Niklaas,11,10.8,51.060636817492,3.664133655134,51.195034590373,4.143062838623
2020-04-14 0800,Brugge,Oostende,15,34.6,51.203015581247996,3.2204347794965,51.176698232275,2.9528867082907997
2020-04-14 0800,Tournai,Mouscron,11,23.6,50.615166550698994,3.4487209667789,50.745555138017,3.0579233029126
2020-04-14 0800,Leuven,Hasselt,13,18.0,50.890293562369,4.848512572479,50.953936542609995,5.284252578166099
2020-04-14 0800,Mouscron,Kortrijk,10,21.6,50.745555138017,3.0579233029126,50.82022156745,3.3180857192644
2020-04-14 0800,Nivelles,Leuven,10,10.4,50.66932764806,4.5837069443180996,50.890293562369,4.848512572479
2020-04-14 0800,Halle-Vilvoorde,Aalst,14,20.0,50.851079717566,4.2727091172415,50.874955561564,3.9487262485012002
2020-04-14 0800,Sint-Niklaas,Dendermonde,17,24.6,51.195034590373,4.143062838623,51.038760537422,4.0355724630103
2020-04-14 0800,Dendermonde,Sint-Niklaas,14,65.6,51.038760537422,4.0355724630103,51.195034590373,4.143062838623
2020-04-14 0800,Sint-Niklaas,Mechelen,11,19.0,51.195034590373,4.143062838623,51.074751304095,4.526195057761901
2020-04-14 0800,Oostende,Brugge,11,55.0,51.176698232275,2.9528867082907997,51.203015581247996,3.2204347794965
2020-04-14 0800,Thuin,Soignies,14,32.4,50.212453892481,4.258712821324,50.597665082065,4.0451164078224
2020-04-14 0800,Charleroi,Soignies,20,56.0,50.458216902291,4.4152261614461,50.597665082065,4.0451164078224
2020-04-14 0800,Mechelen,Sint-Niklaas,11,16.4,51.074751304095,4.526195057761901,51.195034590373,4.143062838623
2020-04-14 0800,Thuin,Charleroi,17,31.4,50.212453892481,4.258712821324,50.458216902291,4.4152261614461
2020-04-14 0800,Soignies,Charleroi,18,39.8,50.597665082065,4.0451164078224,50.458216902291,4.4152261614461
2020-04-14 0800,Brussel Hoofdstad,Halle-Vilvoorde,301,740.6,50.836020816469,4.3707068069884,50.851079717566,4.2727091172415
2020-04-14 0800,Halle-Vilvoorde,Brussel Hoofdstad,342,1140.6,50.851079717566,4.2727091172415,50.836020816469,4.3707068069884
2020-04-14 0800,Brussel Hoofdstad,Nivelles,13,33.0,50.836020816469,4.3707068069884,50.66932764806,4.5837069443180996
2020-04-14 0800,Antwerpen,Sint-Niklaas,52,90.2,51.280587359548996,4.5060116242207,51.195034590373,4.143062838623
2020-04-14 0800,Antwerpen,Mechelen,35,106.0,51.280587359548996,4.5060116242207,51.074751304095,4.526195057761901
2020-04-14 0800,Mechelen,Antwerpen,33,108.4,51.074751304095,4.526195057761901,51.280587359548996,4.5060116242207
2020-04-14 0800,Mechelen,Halle-Vilvoorde,18,39.6,51.074751304095,4.526195057761901,50.851079717566,4.2727091172415
2020-04-14 0800,Sint-Niklaas,Antwerpen,43,62.8,51.195034590373,4.143062838623,51.280587359548996,4.5060116242207
2020-04-14 1600,Mechelen,Turnhout,22,26.4,51.074751304095,4.526195057761901,51.250102901016,4.9504212151206
2020-04-14 1600,Kortrijk,Ieper,29,61.4,50.82022156745,3.3180857192644,50.849764103678,2.851607768751
2020-04-14 1600,Brugge,Oostende,16,104.4,51.203015581247996,3.2204347794965,51.176698232275,2.9528867082907997
2020-04-14 1600,Maaseik,Hasselt,11,22.6,51.139464185368006,5.5153499054274,50.953936542609995,5.284252578166099
2020-04-14 1600,Hasselt,Tongeren,20,143.2,50.953936542609995,5.284252578166099,50.837364003409995,5.516476310249599
2020-04-14 1600,Leuven,Nivelles,19,17.0,50.890293562369,4.848512572479,50.66932764806,4.5837069443180996
2020-04-14 1600,Hasselt,Leuven,12,35.6,50.953936542609995,5.284252578166099,50.890293562369,4.848512572479
2020-04-14 1600,Oostende,Brugge,15,51.6,51.176698232275,2.9528867082907997,51.203015581247996,3.2204347794965
2020-04-14 1600,Turnhout,Antwerpen,23,40.2,51.250102901016,4.9504212151206,51.280587359548996,4.5060116242207
2020-04-14 1600,Liège,Verviers,15,62.6,50.61346769586601,5.6077711552607,50.46421316125,6.022040567855201
2020-04-14 1600,Hasselt,Maaseik,19,77.6,50.953936542609995,5.284252578166099,51.139464185368006,5.5153499054274
2020-04-14 1600,Tongeren,Maaseik,10,10.4,50.837364003409995,5.516476310249599,51.139464185368006,5.5153499054274
2020-04-14 1600,Mechelen,Halle-Vilvoorde,17,59.0,51.074751304095,4.526195057761901,50.851079717566,4.2727091172415
2020-04-14 1600,Mouscron,Tournai,14,32.4,50.745555138017,3.0579233029126,50.615166550698994,3.4487209667789
2020-04-14 1600,Verviers,Liège,10,45.6,50.46421316125,6.022040567855201,50.61346769586601,5.6077711552607
2020-04-14 1600,Kortrijk,Mouscron,11,31.2,50.82022156745,3.3180857192644,50.745555138017,3.0579233029126
2020-04-14 1600,Tournai,Mouscron,23,39.2,50.615166550698994,3.4487209667789,50.745555138017,3.0579233029126
2020-04-14 1600,Kortrijk,Gent,20,23.6,50.82022156745,3.3180857192644,51.060636817492,3.664133655134
