date_time,name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2020-03-01,Bezirk Verviers - Deutschsprachige Gemeinschaft,0.0038682315711257853,0.2615792685690208
2020-03-01,Arr. Eeklo,0.04329673077612061,0.2386054616713433
2020-03-01,Arr. Nivelles,0.012675659652012238,0.2728360865201564
2020-03-01,Arr. Huy,0.0024851952172184346,0.27978941251801115
2020-03-01,Arr. Neufchâteau,-0.028731840831603368,0.29809592233718857
2020-03-01,Arr. Dendermonde,0.045810698827158616,0.2438611995265035
2020-03-01,Arr. Roeselare,0.02190692517865384,0.23860380304141796
2020-03-01,Arr. Aalst,0.02732699966489357,0.2504266494316918
2020-03-01,Arr. Tongeren,0.09935774014360313,0.22037878343911016
2020-03-01,Arr. Veurne,0.02769761828984737,0.24471584948196726
2020-03-01,Arr. Maaseik,0.1044355045030491,0.20742554845855204
2020-03-01,Arr. Mouscron,-0.023252047267215126,0.2653132222867731
2020-03-01,Arr. Mons,-0.0014746024793229325,0.2911719674898641
2020-03-01,Arr. Hasselt,0.07431350242017122,0.2140757677876583
2020-03-01,Arr. Tielt,0.010267621112193944,0.23671550850600745
2020-03-01,Arr. Gent,0.029787078417234738,0.2421923151545403
2020-03-01,Arr. Ath,-0.03568621695082223,0.28044242002581343
2020-03-01,Arr. Dinant,-0.010091271077034263,0.29298290394923937
2020-03-01,Arr. Charleroi,0.003299962879571189,0.2986919216412111
2020-03-01,Arr. Turnhout,0.06878462766912517,0.2226072289072212
2020-03-01,Arr. Leuven,0.050271617774826666,0.24170396740756456
2020-03-01,Arr. Diksmuide,0.00037867776201726716,0.2523709586976857
2020-03-01,Arr. Tournai,-0.008909824991698413,0.2725010068693709
2020-03-01,Arr. Oostende,-0.019225323167603902,0.26140570779597866
2020-03-01,Arr. Soignies,-0.006974997470075743,0.2922942554144186
2020-03-01,Arr. Sint-Niklaas,0.05333870675793968,0.2524259366036974
2020-03-01,Arr. Waremme,0.03741670951774898,0.27344295494343634
2020-03-01,Arr. Bastogne,-0.03706591925633102,0.2660667392262487
2020-03-01,Arr. de Bruxelles-Capitale/Arr. van Brussel-Hoofdstad,-0.04047339729726397,0.26405016957936
2020-03-01,Arr. Verviers - communes francophones,0.012330701617938906,0.277185742597411
2020-03-01,Arr. Antwerpen,0.03812283137876765,0.2474660844589959
2020-03-01,Arr. Thuin,-0.02534479163485089,0.2745575104559837
2020-03-01,Arr. Marche-en-Famenne,0.020520775696108943,0.2536444293896586
2020-03-01,Arr. Liège,-0.007707164980584919,0.28901813823732503
2020-03-01,Arr. Arlon,-0.031424518439279014,0.2960027378869339
2020-03-01,Arr. Namur,-0.02747835610419952,0.2843905573497441
2020-03-01,Arr. Ieper,0.005133850639704862,0.2391810054679078
2020-03-01,Arr. Virton,-0.10148342585638036,0.2986562617310568
2020-03-01,Arr. Philippeville,0.009036829406705877,0.30307625823229256
2020-03-01,Arr. Mechelen,0.011507417818507564,0.2382407987580081
2020-03-01,Arr. Kortrijk,0.023543108082011568,0.2358951911540137
2020-03-01,Arr. Halle-Vilvoorde,-0.0053198590634585385,0.25615300070662395
2020-03-01,Arr. Brugge,-0.025059561218347244,0.2454441191797832
2020-03-01,Arr. Oudenaarde,0.1035307400646924,0.2428417083044193
2020-03-02,Arr. Kortrijk,0.02141174308502489,0.13111649055809504
2020-03-02,Arr. Leuven,0.04884359260879445,0.13127476578414027
2020-03-02,Arr. Nivelles,0.0716282033801398,0.1418085869668705
2020-03-02,Arr. Huy,0.04662357786776341,0.15387959071283475
2020-03-02,Arr. Neufchâteau,0.07160129925767855,0.16549160887284747
2020-03-02,Arr. Dendermonde,0.028623382061300256,0.1378586747796059
2020-03-02,Arr. Aalst,0.013613394473350214,0.14764422833065755
2020-03-02,Arr. Roeselare,-0.0045743099710611615,0.12290914792160895
2020-03-02,Arr. Veurne,-0.010074629153019871,0.17870043427257054
2020-03-02,Arr. Maaseik,0.022042651577447555,0.1285469525812704
2020-03-02,Arr. Tongeren,0.016585882568688273,0.14061815879234235
2020-03-02,Arr. Mouscron,0.021965975881620955,0.1649087689394634
2020-03-02,Arr. Mons,0.0418495837717481,0.16333084157543434
2020-03-02,Arr. Tielt,-0.016498010928597717,0.12308040869818515
2020-03-02,Arr. Hasselt,0.02913356383836572,0.13344652217358854
2020-03-02,Arr. Ath,0.05194195244760223,0.15136272341091075
2020-03-02,Arr. Gent,0.02502030054117244,0.13388549266648322
2020-03-02,Arr. Dinant,0.039609985532274634,0.17812462411916852
2020-03-02,Arr. Charleroi,0.04891693129283845,0.16757331504554646
2020-03-02,Arr. Eeklo,0.03865641716844657,0.13731648232730995
2020-03-02,Arr. Mechelen,0.03705859612920172,0.1328105268874259
2020-03-02,Arr. Diksmuide,0.049352896767813535,0.12907563357760038
2020-03-02,Arr. Tournai,0.04519856177105518,0.14991753022325896
2020-03-02,Bezirk Verviers - Deutschsprachige Gemeinschaft,0.0740265475319355,0.16932771765852148
2020-03-02,Arr. Oudenaarde,-0.004258201015472636,0.13985105096312636
2020-03-02,Arr. Oostende,0.02477980994590713,0.1592092174797897
2020-03-02,Arr. Soignies,0.054637207349314806,0.16125722038534332
2020-03-02,Arr. Sint-Niklaas,0.047953260312350365,0.14170307391064912
2020-03-02,Arr. Bastogne,0.07208181515728396,0.16180294526777575
2020-03-02,Arr. Waremme,0.057024235126181724,0.1373014930956322
2020-03-02,Arr. de Bruxelles-Capitale/Arr. van Brussel-Hoofdstad,-0.02487047458775784,0.14266736842810573
2020-03-02,Arr. Verviers - communes francophones,0.061713670848332985,0.15461205837493874
2020-03-02,Arr. Antwerpen,0.028831031094182318,0.13776066843790102
2020-03-02,Arr. Thuin,0.03730014782488136,0.1698966396902199
2020-03-02,Arr. Marche-en-Famenne,0.016838687523802763,0.1668516739323784
2020-03-02,Arr. Liège,0.04782740634880089,0.16068624839676626
2020-03-02,Arr. Arlon,0.048135630703205985,0.15374582891478245
2020-03-02,Arr. Ieper,0.019175004420432438,0.1287389105646189
2020-03-02,Arr. Namur,0.031299138661840566,0.14932745578637266
2020-03-02,Arr. Virton,0.1269961015169511,0.1481482579203228
2020-03-02,Arr. Philippeville,0.04297601665804605,0.1709034675628513
2020-03-02,Arr. Halle-Vilvoorde,0.0977133818181957,0.13422685607251114
2020-03-02,Arr. Brugge,0.034776758619296834,0.1365001816055154
2020-03-02,Arr. Turnhout,0.02586307668799866,0.1333787076261202
2020-03-03,Arr. Dinant,0.046923491297145584,0.16470079273669042
2020-03-03,Arr. Philippeville,0.013354294980458448,0.15771403899452888
2020-03-03,Arr. Ieper,0.024480244379341157,0.12122943614409053
2020-03-03,Arr. Namur,0.024692138835414015,0.1470774451299937
2020-03-03,Arr. Arlon,0.07820979205759056,0.13985246913098473
2020-03-03,Arr. Liège,0.035718914105731095,0.15608921355795394
2020-03-03,Arr. Marche-en-Famenne,0.03218688544956417,0.16350500671804094
2020-03-03,Arr. Thuin,0.021007456862747173,0.15932017043126093
2020-03-03,Arr. Antwerpen,0.019579573150367662,0.12847120352168506
2020-03-03,Arr. Virton,0.11571045898540927,0.14759741576118926
2020-03-03,Arr. Verviers - communes francophones,0.050945598792930105,0.15330654872385946
2020-03-03,Arr. Bastogne,0.06860007139797894,0.15765550555283886
2020-03-03,Arr. Waremme,0.02606092836267843,0.13988569901328576
2020-03-03,Arr. Sint-Niklaas,0.0678250840552997,0.1249996130273264
2020-03-03,Arr. Soignies,0.03830782572602372,0.1597637102469346
2020-03-03,Arr. Oostende,0.05311546839963625,0.1514018879744147
2020-03-03,Arr. Tournai,0.04959797497763879,0.14847589708025485
2020-03-03,Arr. Kortrijk,0.04351796728603656,0.12059544270382372
2020-03-03,Arr. Halle-Vilvoorde,0.1057756976505006,0.12733370889614096
2020-03-03,Arr. de Bruxelles-Capitale/Arr. van Brussel-Hoofdstad,-0.03391644597178006,0.1370183964821113
2020-03-03,Arr. Brugge,0.05209761325365544,0.13760233654686832
2020-03-03,Arr. Diksmuide,0.01277013157097484,0.13044233874265554
2020-03-03,Arr. Charleroi,0.014635949088333962,0.16570612929544346
2020-03-03,Arr. Turnhout,0.05192617021331916,0.1203794411741995
2020-03-03,Arr. Ath,0.02294623145105221,0.1454873736020875
2020-03-03,Arr. Gent,0.025000651013412523,0.12423842266723086
2020-03-03,Arr. Tielt,0.019226260504598518,0.11637320049402712
2020-03-03,Arr. Mons,-0.0004924173869294021,0.1646816625098435
2020-03-03,Arr. Hasselt,0.03976275068410395,0.12351641583280387
2020-03-03,Arr. Mouscron,0.061988369767682676,0.14259536816501406
2020-03-03,Arr. Maaseik,0.01223813901750587,0.12503944628422464
2020-03-03,Arr. Mechelen,0.04298266949145549,0.1197516681913759
2020-03-03,Arr. Tongeren,0.007241170537588094,0.13285723844725686
2020-03-03,Arr. Roeselare,0.003020648023162988,0.11829622571561753
2020-03-03,Arr. Aalst,0.006938637517496242,0.1373328437881435
2020-03-03,Arr. Dendermonde,0.04125165865119965,0.12703008198776505
2020-03-03,Arr. Neufchâteau,0.08530989301274533,0.15655321828781807
2020-03-03,Arr. Nivelles,0.08914499972182864,0.1346238244140614
2020-03-03,Arr. Huy,0.06797589631127185,0.1490283874121723
2020-03-03,Arr. Eeklo,0.02087816508571444,0.12932905799186198
2020-03-03,Arr. Leuven,0.031094714967361037,0.12836591707200942
2020-03-03,Arr. Veurne,0.02039713860105304,0.1700654343861576
2020-03-03,Arr. Oudenaarde,0.022483792552645085,0.1286658157624798
